questions,marks,category
Describe the characteristic of a part picking robot using the PEAS properties.,5,AI
Explain various properties of task environment with suitable examples,10,AI
What do you understand by forward chaining and backward chaining. Explain in detail.,10,AI
Perform A* search to find the shortest distance path from S to any of the goal nodes.,10,AI
Natural Language Processing.,10,AI
Formulate the 8 puzzle problem.,5,AI
What is supervised learning?,5,ML
What is supervised learning?,5,ML
Explain overfitting in machine learning?,5,ML
What is a confusion matrix?,5,ML
Describe the bias-variance tradeoff?,10,ML
What is cross-validation?,5,ML
"Define the term ""feature engineering""?",5,ML
What is gradient descent?,10,ML
Explain the difference between classification and regression?,5,ML
What is supervised learning?,5,ML
Explain overfitting in machine learning?,5,ML
What is a confusion matrix?,5,ML
Describe the bias-variance tradeoff?,10,ML
What is cross-validation?,5,ML
"Define the term ""feature engineering""?",5,ML
What is gradient descent?,10,ML
Explain the difference between classification and regression?,5,ML
What is supervised learning?,5,ML
Explain overfitting in machine learning?,5,ML
What is a confusion matrix?,5,ML
Describe the bias-variance tradeoff?,10,ML
What is cross-validation?,5,ML
"Define the term ""feature engineering""?",5,ML
What is gradient descent?,10,ML
Explain the difference between classification and regression?,5,ML
What is supervised learning?,5,ML
Explain overfitting in machine learning?,5,ML
What is a confusion matrix?,5,ML
Describe the bias-variance tradeoff?,10,ML
What is cross-validation?,5,ML
"Define the term ""feature engineering""?",5,ML
What is gradient descent?,10,ML
Explain the difference between classification and regression?,5,ML
What are the different types of machine learning?,5,ML
Describe the K-Nearest Neighbors algorithm?,5,ML
What is dimensionality reduction?,5,ML
Explain the role of the activation function in neural networks?,10,ML
What is the purpose of a learning rate?,5,ML
How does random forest differ from decision trees?,10,ML
Explain the concept of ensemble learning?,5,ML
What is the curse of dimensionality?,5,ML
Define unsupervised learning with examples?,5,ML
What is regularization in machine learning?,10,ML
What are the different types of machine learning?,5,ML
Describe the K-Nearest Neighbors algorithm?,5,ML
What is dimensionality reduction?,5,ML
Explain the role of the activation function in neural networks?,10,ML
What is the purpose of a learning rate?,5,ML
How does random forest differ from decision trees?,10,ML
Explain the concept of ensemble learning?,5,ML
What is the curse of dimensionality?,5,ML
Define unsupervised learning with examples?,5,ML
What is regularization in machine learning?,10,ML
What are the different types of machine learning?,5,ML
Describe the K-Nearest Neighbors algorithm?,5,ML
What is dimensionality reduction?,5,ML
Explain the role of the activation function in neural networks?,10,ML
What is the purpose of a learning rate?,5,ML
How does random forest differ from decision trees?,10,ML
Explain the concept of ensemble learning?,5,ML
What is the curse of dimensionality?,5,ML
Define unsupervised learning with examples?,5,ML
What is regularization in machine learning?,10,ML
What is logistic regression used for?,5,ML
Explain support vector machines (SVM)?,5,ML
What is the purpose of a validation set?,5,ML
Describe the difference between batch and stochastic gradient descent?,5,ML
What is a kernel in SVM?,5,ML
Explain the concept of clustering?,5,ML
What is a decision boundary?,5,ML
How do you handle missing data in datasets?,5,ML
What is an epoch in neural network training?,5,ML
Explain precision and recall?,5,ML
What are hyperparameters?,5,ML
Define reinforcement learning?,10,ML
What is feature scaling?,5,ML
Describe the differences between L1 and L2 regularization?,10,ML
What is a confusion matrix used for?,5,ML
What is logistic regression used for?,5,ML
Explain support vector machines (SVM)?,5,ML
What is the purpose of a validation set?,5,ML
Describe the difference between batch and stochastic gradient descent?,5,ML
What is a kernel in SVM?,5,ML
Explain the concept of clustering?,5,ML
What is a decision boundary?,5,ML
How do you handle missing data in datasets?,5,ML
What is an epoch in neural network training?,5,ML
Explain precision and recall?,5,ML
What are hyperparameters?,5,ML
Define reinforcement learning?,10,ML
What is feature scaling?,5,ML
Describe the differences between L1 and L2 regularization?,10,ML
What is a confusion matrix used for?,5,ML
"What is the difference between AI, machine learning, and deep learning?",5,ML
How does the Naive Bayes classifier work?,5,ML
What is the role of a loss function?,5,ML
Explain the vanishing gradient problem?,10,ML
What are autoencoders?,10,ML
How is PCA used in machine learning?,5,ML
What is transfer learning?,5,ML
Explain the concept of model interpretability.,5,ML
